NUMERO_INCIDENTE;CODIGO_CRIME;CODIGO_GRUPO_CRIME;DESCRICAO_CRIME;DISTRITO;AREA_REPORTADA;TEVE_TIRO;DATA_OCORRENCIA;ANO;MES;DIA_DA_SEMANA;HORA;ALTO_RISCO
I182050993;613;Larceny;LARCENY SHOPLIFTING;B2;320;0;29/06/18 11:09;2018;6;Friday;11;0
I182050984;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;0;0;29/06/18 10:23;2018;6;Friday;10;0
I182050983;3208;Property Lost;PROPERTY - MISSING;B2;311;0;29/06/18 10:21;2018;6;Friday;10;0
I182050981;1102;Fraud;FRAUD - FALSE PRETENSE / SCHEME;B2;264;0;25/06/18 11:07;2018;6;Monday;11;0
I182050980;3201;Property Lost;PROPERTY - LOST;B2;278;0;29/06/18 11:05;2018;6;Friday;11;0
I182050970;3410;Towed;TOWED MOTOR VEHICLE;B2;311;0;29/06/18 10:35;2018;6;Friday;10;0
I182050966;1402;Vandalism;VANDALISM;B2;298;0;16/06/18 15:00;2018;6;Saturday;15;0
I182050960;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;328;0;25/06/18 14:30;2018;6;Monday;14;0
I182050958;3201;Property Lost;PROPERTY - LOST;B2;566;0;28/06/18 08:00;2018;6;Thursday;8;0
I182050957;3301;Verbal Disputes;VERBAL DISPUTE;B2;321;0;29/06/18 03:00;2018;6;Friday;3;0
I182050949;3820;Motor Vehicle Accident Response;M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY;B2;321;0;29/06/18 08:42;2018;6;Friday;8;0
I182050944;3007;Medical Assistance;SUDDEN DEATH;B2;292;0;29/06/18 08:29;2018;6;Friday;8;0
I182050921;3114;Investigate Property;INVESTIGATE PROPERTY;B2;0;0;29/06/18 00:41;2018;6;Friday;0;0
I182050913;2905;Violations;VAL - OPERATING WITHOUT LICENSE;B2;262;0;29/06/18 01:24;2018;6;Friday;1;1
I182050910;3410;Towed;TOWED MOTOR VEHICLE;B2;237;0;29/06/18 00:53;2018;6;Friday;0;0
I182050891;3115;Investigate Person;INVESTIGATE PERSON;B2;319;0;28/06/18 22:36;2018;6;Thursday;22;0
I182050881;3018;Medical Assistance;SICK/INJURED/MEDICAL - POLICE;B2;282;0;28/06/18 09:30;2018;6;Thursday;9;0
I182050872;522;Residential Burglary;BURGLARY - RESIDENTIAL - NO FORCE;B2;329;0;28/06/18 21:22;2018;6;Thursday;21;0
I182050870;2632;Evading Fare;EVADING FARE;B2;603;0;28/06/18 20:51;2018;6;Thursday;20;0
I182050864;3301;Verbal Disputes;VERBAL DISPUTE;B2;901;0;28/06/18 21:06;2018;6;Thursday;21;0
I182050862;3301;Verbal Disputes;VERBAL DISPUTE;B2;317;0;28/06/18 20:35;2018;6;Thursday;20;0
I182050853;3115;Investigate Person;INVESTIGATE PERSON;B2;289;0;28/06/18 19:07;2018;6;Thursday;19;0
I182050847;3301;Verbal Disputes;VERBAL DISPUTE;B2;318;0;28/06/18 19:32;2018;6;Thursday;19;0
I182050841;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;311;0;28/06/18 19:16;2018;6;Thursday;19;1
I182050823;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;297;0;28/06/18 18:38;2018;6;Thursday;18;0
I182050820;1106;Confidence Games;FRAUD - CREDIT CARD / ATM FRAUD;B2;260;0;28/06/18 18:09;2018;6;Thursday;18;0
I182050819;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;327;0;28/06/18 17:29;2018;6;Thursday;17;0
I182050812;3205;License Plate Related Incidents;M/V PLATES - LOST;B2;287;0;27/06/18 07:00;2018;6;Wednesday;7;0
I182050800;3301;Verbal Disputes;VERBAL DISPUTE;B2;308;0;28/06/18 17:16;2018;6;Thursday;17;0
I182050795;3115;Investigate Person;INVESTIGATE PERSON;B2;282;0;28/06/18 15:40;2018;6;Thursday;15;0
I182050793;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;281;0;28/06/18 16:01;2018;6;Thursday;16;0
I182050782;1874;Drug Violation;DRUGS - OTHER;B2;282;0;28/06/18 16:38;2018;6;Thursday;16;0
I182050773;3018;Medical Assistance;SICK/INJURED/MEDICAL - POLICE;B2;282;0;28/06/18 09:30;2018;6;Thursday;9;0
I182050771;3503;Missing Person Located;MISSING PERSON - NOT REPORTED - LOCATED;B2;586;0;28/06/18 14:25;2018;6;Thursday;14;0
I182050766;3301;Verbal Disputes;VERBAL DISPUTE;B2;326;0;28/06/18 14:49;2018;6;Thursday;14;0
I182050762;1810;Drug Violation;DRUGS - SALE / MANUFACTURING;B2;282;0;28/06/18 15:31;2018;6;Thursday;15;0
I182050759;3201;Property Lost;PROPERTY - LOST;B2;319;0;25/06/18 15:25;2018;6;Monday;15;0
I182050754;2647;Other;THREATS TO DO BODILY HARM;B2;237;0;21/06/18 15:19;2018;6;Thursday;15;0
I182050750;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;260;0;28/06/18 14:17;2018;6;Thursday;14;1
I182050750;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;260;0;28/06/18 14:17;2018;6;Thursday;14;0
I182050748;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;290;0;28/06/18 14:18;2018;6;Thursday;14;1
I182050742;3830;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PERSONAL INJURY;B2;237;0;28/06/18 13:30;2018;6;Thursday;13;0
I182050740;619;Larceny;LARCENY ALL OTHERS;B2;304;0;01/06/18 12:00;2018;6;Friday;12;0
I182050740;1001;Counterfeiting;FORGERY / COUNTERFEITING;B2;304;0;01/06/18 12:00;2018;6;Friday;12;0
I182050730;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;330;0;28/06/18 12:36;2018;6;Thursday;12;1
I182050729;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;0;0;28/06/18 11:24;2018;6;Thursday;11;1
I182050727;3115;Investigate Person;INVESTIGATE PERSON;B2;601;0;28/06/18 13:42;2018;6;Thursday;13;0
I182050725;617;Larceny;LARCENY THEFT FROM BUILDING;B2;309;0;28/06/18 11:40;2018;6;Thursday;11;0
I182050725;612;Larceny;LARCENY PURSE SNATCH - NO FORCE ;B2;309;0;28/06/18 11:40;2018;6;Thursday;11;0
I182050720;3301;Verbal Disputes;VERBAL DISPUTE;B2;305;0;28/06/18 11:56;2018;6;Thursday;11;0
I182050703;3018;Medical Assistance;SICK/INJURED/MEDICAL - POLICE;B2;282;0;28/06/18 12:53;2018;6;Thursday;12;0
I182050698;301;Robbery;ROBBERY - STREET;B2;287;0;28/06/18 12:02;2018;6;Thursday;12;1
I182050698;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;287;0;28/06/18 12:02;2018;6;Thursday;12;0
I182050698;3115;Investigate Person;INVESTIGATE PERSON;B2;287;0;28/06/18 12:02;2018;6;Thursday;12;0
I182050694;2646;Liquor Violation;LIQUOR - DRINKING IN PUBLIC;B2;287;0;28/06/18 11:30;2018;6;Thursday;11;0
I182050633;1106;Confidence Games;FRAUD - CREDIT CARD / ATM FRAUD;B2;317;0;01/05/18 00:00;2018;5;Tuesday;0;0
I182050633;3201;Property Lost;PROPERTY - LOST;B2;317;0;01/05/18 00:00;2018;5;Tuesday;0;0
I182050625;1402;Vandalism;VANDALISM;B2;178;0;28/06/18 06:55;2018;6;Thursday;6;0
I182050623;724;Auto Theft;AUTO THEFT;B2;0;0;27/06/18 15:00;2018;6;Wednesday;15;0
I182050622;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;0;0;28/06/18 01:40;2018;6;Thursday;1;0
I182050613;3115;Investigate Person;INVESTIGATE PERSON;B2;288;0;28/06/18 04:11;2018;6;Thursday;4;0
I182050611;3114;Investigate Property;INVESTIGATE PROPERTY;B2;317;0;28/06/18 03:31;2018;6;Thursday;3;0
I182050604;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;324;0;28/06/18 02:06;2018;6;Thursday;2;0
I182050602;301;Robbery;ROBBERY - STREET;B2;325;0;28/06/18 01:39;2018;6;Thursday;1;1
I182050602;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;325;0;28/06/18 01:39;2018;6;Thursday;1;1
I182050598;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;321;0;28/06/18 02:31;2018;6;Thursday;2;0
I182050597;2610;Other;TRESPASSING;B2;593;0;28/06/18 02:28;2018;6;Thursday;2;0
I182050595;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;586;0;28/06/18 01:07;2018;6;Thursday;1;0
I182050581;3114;Investigate Property;INVESTIGATE PROPERTY;B2;296;0;27/06/18 20:50;2018;6;Wednesday;20;0
I182050578;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;181;0;27/06/18 22:30;2018;6;Wednesday;22;1
I182050577;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;297;0;27/06/18 22:59;2018;6;Wednesday;22;0
I182050558;3301;Verbal Disputes;VERBAL DISPUTE;B2;306;0;27/06/18 20:13;2018;6;Wednesday;20;0
I182050554;619;Larceny;LARCENY ALL OTHERS;B2;282;0;27/06/18 17:26;2018;6;Wednesday;17;0
I182050554;3125;Warrant Arrests;WARRANT ARREST;B2;282;0;27/06/18 17:26;2018;6;Wednesday;17;0
I182050544;1874;Drug Violation;DRUGS - OTHER;B2;282;0;27/06/18 21:11;2018;6;Wednesday;21;0
I182050543;2905;Violations;VAL - OPERATING WITHOUT LICENSE;B2;318;0;27/06/18 20:45;2018;6;Wednesday;20;1
I182050542;727;Auto Theft;AUTO THEFT - LEASED/RENTED VEHICLE;B2;266;0;27/06/18 14:00;2018;6;Wednesday;14;0
I182050529;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;263;0;27/06/18 20:24;2018;6;Wednesday;20;1
I182050527;2907;Violations;VAL - OPERATING AFTER REV/SUSP.;B2;238;0;27/06/18 20:04;2018;6;Wednesday;20;1
I182050523;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;306;0;26/06/18 17:00;2018;6;Tuesday;17;0
I182050512;1848;Drug Violation;DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP;B2;0;0;27/06/18 19:05;2018;6;Wednesday;19;0
I182050480;3109;Police Service Incidents;SERVICE TO OTHER PD INSIDE OF MA.;B2;281;0;27/06/18 18:00;2018;6;Wednesday;18;0
I182050444;613;Larceny;LARCENY SHOPLIFTING;B2;311;0;27/06/18 14:43;2018;6;Wednesday;14;0
I182050440;2610;Other;TRESPASSING;B2;292;0;27/06/18 15:30;2018;6;Wednesday;15;0
I182050438;2610;Other;TRESPASSING;B2;292;0;27/06/18 15:37;2018;6;Wednesday;15;0
I182050437;2646;Liquor Violation;LIQUOR - DRINKING IN PUBLIC;B2;288;0;27/06/18 15:54;2018;6;Wednesday;15;0
I182050436;2610;Other;TRESPASSING;B2;288;0;27/06/18 14:50;2018;6;Wednesday;14;0
I182050434;2647;Other;THREATS TO DO BODILY HARM;B2;311;0;27/06/18 15:19;2018;6;Wednesday;15;0
I182050434;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;311;0;27/06/18 15:19;2018;6;Wednesday;15;0
I182050428;3301;Verbal Disputes;VERBAL DISPUTE;B2;282;0;27/06/18 16:00;2018;6;Wednesday;16;0
I182050416;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;258;0;27/06/18 14:00;2018;6;Wednesday;14;0
I182050412;3301;Verbal Disputes;VERBAL DISPUTE;B2;911;0;27/06/18 14:06;2018;6;Wednesday;14;0
I182050409;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;329;0;27/06/18 14:00;2018;6;Wednesday;14;1
I182050406;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;319;0;27/06/18 14:12;2018;6;Wednesday;14;0
I182050368;3018;Medical Assistance;SICK/INJURED/MEDICAL - POLICE;B2;289;0;27/06/18 12:00;2018;6;Wednesday;12;0
I182050366;1510;Firearm Violations;WEAPON - FIREARM - OTHER VIOLATION;B2;0;0;27/06/18 12:36;2018;6;Wednesday;12;0
I182050366;2906;Violations;VAL - OPERATING UNREG/UNINS  CAR;B2;0;0;27/06/18 12:36;2018;6;Wednesday;12;1
I182050366;2907;Violations;VAL - OPERATING AFTER REV/SUSP.;B2;0;0;27/06/18 12:36;2018;6;Wednesday;12;1
I182050366;3125;Warrant Arrests;WARRANT ARREST;B2;0;0;27/06/18 12:36;2018;6;Wednesday;12;0
I182050364;3502;Missing Person Located;MISSING PERSON - LOCATED;B2;311;0;27/06/18 12:50;2018;6;Wednesday;12;0
I182050364;3501;Missing Person Reported;MISSING PERSON;B2;311;0;27/06/18 12:50;2018;6;Wednesday;12;0
I182050362;2647;Other;THREATS TO DO BODILY HARM;B2;911;0;27/06/18 11:59;2018;6;Wednesday;11;0
I182050340;3115;Investigate Person;INVESTIGATE PERSON;B2;282;0;27/06/18 11:53;2018;6;Wednesday;11;0
I182050316;3125;Warrant Arrests;WARRANT ARREST;B2;282;0;27/06/18 10:26;2018;6;Wednesday;10;0
I182050296;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;279;0;27/06/18 09:13;2018;6;Wednesday;9;1
I182050290;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;324;0;27/06/18 08:44;2018;6;Wednesday;8;0
I182050284;1402;Vandalism;VANDALISM;B2;312;0;27/06/18 08:23;2018;6;Wednesday;8;0
I182050275;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;320;0;27/06/18 02:00;2018;6;Wednesday;2;0
I182050275;1402;Vandalism;VANDALISM;B2;320;0;27/06/18 02:00;2018;6;Wednesday;2;0
I182050274;1402;Vandalism;VANDALISM;B2;178;0;27/06/18 07:02;2018;6;Wednesday;7;0
I182050268;3501;Missing Person Reported;MISSING PERSON;B2;304;0;27/06/18 06:40;2018;6;Wednesday;6;0
I182050248;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;328;0;27/06/18 00:47;2018;6;Wednesday;0;0
I182050240;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;331;0;27/06/18 00:57;2018;6;Wednesday;0;0
I182050238;2662;Ballistics;BALLISTICS EVIDENCE/FOUND;B2;0;0;27/06/18 01:57;2018;6;Wednesday;1;1
I182050237;423;Aggravated Assault;ASSAULT - AGGRAVATED;B2;0;0;27/06/18 01:19;2018;6;Wednesday;1;1
I182050236;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;328;0;26/06/18 23:26;2018;6;Tuesday;23;0
I182050225;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;0;0;26/06/18 23:51;2018;6;Tuesday;23;0
I182050220;3114;Investigate Property;INVESTIGATE PROPERTY;B2;305;0;26/06/18 23:34;2018;6;Tuesday;23;0
I182050215;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;267;0;26/06/18 22:32;2018;6;Tuesday;22;0
I182050214;1402;Vandalism;VANDALISM;B2;901;0;26/06/18 23:06;2018;6;Tuesday;23;0
I182050212;301;Robbery;ROBBERY - STREET;B2;329;0;26/06/18 23:17;2018;6;Tuesday;23;1
I182050200;3207;Property Found;PROPERTY - FOUND;B2;911;0;26/06/18 22:11;2018;6;Tuesday;22;0
I182050200;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;911;0;26/06/18 22:11;2018;6;Tuesday;22;1
I182050197;3114;Investigate Property;INVESTIGATE PROPERTY;B2;326;0;26/06/18 22:19;2018;6;Tuesday;22;0
I182050183;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;0;0;26/06/18 21:32;2018;6;Tuesday;21;0
I182050175;520;Residential Burglary;BURGLARY - RESIDENTIAL - FORCE;B2;586;0;26/06/18 07:00;2018;6;Tuesday;7;0
I182050172;724;Auto Theft;AUTO THEFT;B2;263;0;26/06/18 20:54;2018;6;Tuesday;20;0
I182050172;3114;Investigate Property;INVESTIGATE PROPERTY;B2;263;0;26/06/18 20:54;2018;6;Tuesday;20;0
I182050168;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;304;0;26/06/18 18:38;2018;6;Tuesday;18;0
I182050168;2405;Disorderly Conduct;DISORDERLY CONDUCT;B2;304;0;26/06/18 18:38;2018;6;Tuesday;18;0
I182050164;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;321;0;26/06/18 16:59;2018;6;Tuesday;16;0
I182050148;2005;Offenses Against Child / Family;CHILD ENDANGERMENT;B2;308;0;26/06/18 19:47;2018;6;Tuesday;19;0
I182050148;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;308;0;26/06/18 19:47;2018;6;Tuesday;19;0
I182050126;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;328;0;26/06/18 18:02;2018;6;Tuesday;18;0
I182050124;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;259;0;26/06/18 17:49;2018;6;Tuesday;17;0
I182050109;3115;Investigate Person;INVESTIGATE PERSON;B2;332;0;26/06/18 07:00;2018;6;Tuesday;7;0
I182050103;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;267;0;26/06/18 17:07;2018;6;Tuesday;17;0
I182050095;3410;Towed;TOWED MOTOR VEHICLE;B2;606;0;26/06/18 15:45;2018;6;Tuesday;15;0
I182050086;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;319;0;26/06/18 15:48;2018;6;Tuesday;15;1
I182050086;520;Residential Burglary;BURGLARY - RESIDENTIAL - FORCE;B2;319;0;26/06/18 15:48;2018;6;Tuesday;15;0
I182050080;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;614;0;26/06/18 11:18;2018;6;Tuesday;11;0
I182050070;2905;Violations;VAL - OPERATING WITHOUT LICENSE;B2;180;0;26/06/18 15:31;2018;6;Tuesday;15;1
I182050064;616;Larceny;LARCENY THEFT OF BICYCLE;B2;612;0;22/06/18 06:45;2018;6;Friday;6;0
I182050063;1848;Drug Violation;DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP;B2;0;0;26/06/18 14:14;2018;6;Tuesday;14;0
I182050063;1841;Drug Violation;DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP;B2;0;0;26/06/18 14:14;2018;6;Tuesday;14;0
I182050063;2907;Violations;VAL - OPERATING AFTER REV/SUSP.;B2;0;0;26/06/18 14:14;2018;6;Tuesday;14;1
I182050054;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;276;0;25/06/18 14:36;2018;6;Monday;14;0
I182050053;1107;Fraud;FRAUD - IMPERSONATION;B2;325;0;26/06/18 14:48;2018;6;Tuesday;14;0
I182050044;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;178;0;22/06/18 05:00;2018;6;Friday;5;0
I182050040;3301;Verbal Disputes;VERBAL DISPUTE;B2;0;0;26/06/18 14:08;2018;6;Tuesday;14;0
I182050035;1846;Drug Violation;DRUGS - POSS CLASS E;B2;179;0;26/06/18 14:10;2018;6;Tuesday;14;0
I182050021;706;Auto Theft;AUTO THEFT - MOTORCYCLE / SCOOTER;B2;901;0;21/06/18 12:00;2018;6;Thursday;12;0
I182050010;1402;Vandalism;VANDALISM;B2;184;0;24/06/18 19:00;2018;6;Sunday;19;0
I182050009;613;Larceny;LARCENY SHOPLIFTING;B2;311;0;26/06/18 12:31;2018;6;Tuesday;12;0
I182049998;1402;Vandalism;VANDALISM;B2;261;0;26/06/18 11:26;2018;6;Tuesday;11;0
I182049997;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;593;0;26/06/18 11:58;2018;6;Tuesday;11;0
I182049966;614;Larceny From Motor Vehicle;LARCENY THEFT FROM MV - NON-ACCESSORY;B2;328;0;25/06/18 18:00;2018;6;Monday;18;0
I182049966;615;Larceny From Motor Vehicle;LARCENY THEFT OF MV PARTS & ACCESSORIES;B2;328;0;25/06/18 18:00;2018;6;Monday;18;0
I182049966;1402;Vandalism;VANDALISM;B2;328;0;25/06/18 18:00;2018;6;Monday;18;0
I182049960;1402;Vandalism;VANDALISM;B2;330;0;25/06/18 21:00;2018;6;Monday;21;0
I182049944;1402;Vandalism;VANDALISM;B2;281;0;26/06/18 08:32;2018;6;Tuesday;8;0
I182049925;560;Other Burglary;BURGLARY - OTHER - FORCE;B2;318;0;25/06/18 16:30;2018;6;Monday;16;0
I182049920;1831;Drug Violation;DRUGS - SICK ASSIST - OTHER NARCOTIC;B2;311;0;26/06/18 03:46;2018;6;Tuesday;3;0
I182049911;1402;Vandalism;VANDALISM;B2;587;0;26/06/18 01:33;2018;6;Tuesday;1;0
I182049910;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;0;0;24/06/18 23:00;2018;6;Sunday;23;0
I182049902;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;265;0;26/06/18 00:44;2018;6;Tuesday;0;1
I182049888;3018;Medical Assistance;SICK/INJURED/MEDICAL - POLICE;B2;282;0;25/06/18 22:30;2018;6;Monday;22;0
I182049887;3208;Property Lost;PROPERTY - MISSING;B2;291;0;24/06/18 23:30;2018;6;Sunday;23;0
I182049886;2900;Other;VAL - VIOLATION OF AUTO LAW - OTHER;B2;322;0;25/06/18 21:34;2018;6;Monday;21;0
I182049886;2907;Violations;VAL - OPERATING AFTER REV/SUSP.;B2;322;0;25/06/18 21:34;2018;6;Monday;21;1
I182049875;2662;Ballistics;BALLISTICS EVIDENCE/FOUND;B2;305;0;25/06/18 21:30;2018;6;Monday;21;1
I182049853;802;Simple Assault;ASSAULT SIMPLE - BATTERY;B2;264;0;24/06/18 10:00;2018;6;Sunday;10;0
I182049849;617;Larceny;LARCENY THEFT FROM BUILDING;B2;287;0;25/06/18 20:46;2018;6;Monday;20;0
I182049847;3115;Investigate Person;INVESTIGATE PERSON;B2;306;0;25/06/18 19:46;2018;6;Monday;19;0
I182049842;520;Residential Burglary;BURGLARY - RESIDENTIAL - FORCE;B2;325;0;25/06/18 20:26;2018;6;Monday;20;0
I182049837;3115;Investigate Person;INVESTIGATE PERSON;B2;299;0;25/06/18 19:28;2018;6;Monday;19;0
I182049830;2647;Other;THREATS TO DO BODILY HARM;B2;296;0;25/06/18 19:43;2018;6;Monday;19;0
I182049823;3208;Property Lost;PROPERTY - MISSING;B2;309;0;25/06/18 17:00;2018;6;Monday;17;0
I182049816;724;Auto Theft;AUTO THEFT;B2;280;0;25/06/18 15:30;2018;6;Monday;15;0
I182049809;1402;Vandalism;VANDALISM;B2;326;0;25/06/18 17:08;2018;6;Monday;17;0
I182049800;3201;Property Lost;PROPERTY - LOST;B2;613;0;25/06/18 19:10;2018;6;Monday;19;0
I182049781;3301;Verbal Disputes;VERBAL DISPUTE;B2;313;0;25/06/18 17:17;2018;6;Monday;17;0
I182049779;3502;Missing Person Located;MISSING PERSON - LOCATED;B2;258;0;24/06/18 13:00;2018;6;Sunday;13;0
I182049779;3501;Missing Person Reported;MISSING PERSON;B2;258;0;24/06/18 13:00;2018;6;Sunday;13;0
I182049767;2010;HOME INVASION;HOME INVASION;B2;297;0;25/06/18 16:37;2018;6;Monday;16;0
I182049764;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;181;0;25/06/18 17:23;2018;6;Monday;17;0
I182049759;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;329;0;25/06/18 16:30;2018;6;Monday;16;1
I182049757;1843;Drug Violation;DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP;B2;0;0;25/06/18 16:41;2018;6;Monday;16;0
I182049753;1102;Fraud;FRAUD - FALSE PRETENSE / SCHEME;B2;295;0;25/06/18 16:57;2018;6;Monday;16;0
I182049746;1106;Confidence Games;FRAUD - CREDIT CARD / ATM FRAUD;B2;901;0;06/06/18 00:00;2018;6;Wednesday;0;0
I182049743;1874;Drug Violation;DRUGS - OTHER;B2;282;0;25/06/18 16:07;2018;6;Monday;16;0
I182049736;3208;Property Lost;PROPERTY - MISSING;B2;265;0;24/06/18 19:30;2018;6;Sunday;19;0
I182049731;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;329;0;25/06/18 14:16;2018;6;Monday;14;0
I182049730;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;318;0;25/06/18 14:23;2018;6;Monday;14;1
I182049723;2647;Other;THREATS TO DO BODILY HARM;B2;183;0;25/06/18 15:26;2018;6;Monday;15;0
I182049718;619;Larceny;LARCENY ALL OTHERS;B2;904;0;23/06/18 14:52;2018;6;Saturday;14;0
I182049709;3831;Motor Vehicle Accident Response;M/V - LEAVING SCENE - PROPERTY DAMAGE;B2;310;0;24/06/18 05:00;2018;6;Sunday;5;0
I182049697;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;265;0;25/06/18 14:01;2018;6;Monday;14;0
I182049694;3208;Property Lost;PROPERTY - MISSING;B2;319;0;25/06/18 13:00;2018;6;Monday;13;0
I182049693;3115;Investigate Person;INVESTIGATE PERSON;B2;324;0;25/06/18 14:02;2018;6;Monday;14;0
I182049680;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;317;0;25/06/18 12:43;2018;6;Monday;12;0
I182049675;706;Auto Theft;AUTO THEFT - MOTORCYCLE / SCOOTER;B2;260;0;25/06/18 09:15;2018;6;Monday;9;0
I182049671;413;Aggravated Assault;ASSAULT - AGGRAVATED - BATTERY;B2;329;1;25/06/18 12:42;2018;6;Monday;12;1
I182049671;1402;Vandalism;VANDALISM;B2;329;1;25/06/18 12:42;2018;6;Monday;12;0
I182049671;3130;Search Warrants;SEARCH WARRANT;B2;329;1;25/06/18 12:42;2018;6;Monday;12;0
I182049671;1510;Firearm Violations;WEAPON - FIREARM - OTHER VIOLATION;B2;329;1;25/06/18 12:42;2018;6;Monday;12;0
I182049661;2647;Other;THREATS TO DO BODILY HARM;B2;276;0;25/06/18 12:20;2018;6;Monday;12;0
I182049644;616;Larceny;LARCENY THEFT OF BICYCLE;B2;593;0;18/06/18 12:46;2018;6;Monday;12;0
I182049618;619;Larceny;LARCENY ALL OTHERS;B2;267;0;22/05/18 12:00;2018;5;Tuesday;12;0
I182049606;724;Auto Theft;AUTO THEFT;B2;261;0;29/06/18 07:00;2018;6;Friday;7;0
I182049595;3410;Towed;TOWED MOTOR VEHICLE;B2;265;0;25/06/18 07:45;2018;6;Monday;7;0
I182049580;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;0;0;25/06/18 06:40;2018;6;Monday;6;0
I182049580;3803;Motor Vehicle Accident Response;M/V ACCIDENT - PERSONAL INJURY;B2;0;0;25/06/18 06:40;2018;6;Monday;6;0
I182049579;3006;Medical Assistance;SICK/INJURED/MEDICAL - PERSON;B2;291;0;25/06/18 06:56;2018;6;Monday;6;0
I182049579;3115;Investigate Person;INVESTIGATE PERSON;B2;291;0;25/06/18 06:56;2018;6;Monday;6;0
I182049567;724;Auto Theft;AUTO THEFT;B2;318;0;24/06/18 11:55;2018;6;Sunday;11;0
I182049567;3802;Motor Vehicle Accident Response;M/V ACCIDENT - PROPERTY  DAMAGE;B2;318;0;24/06/18 11:55;2018;6;Sunday;11;0
